Rank,Task,Model,Params,Preprocess,Deriv,Window,Poly,LVs,n_vars,full_vars,SubsetTag,RMSE,R2,CompositeScore,top_vars
71,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,500,500,full,20.554356650133926,0.06883713374723184,-0.4599638417644717,N/A
72,regression,PLS,{'n_components': 16},raw,,,,16,500,500,full,19.758260621579403,0.11503479729568833,-0.4561238154548455,N/A
73,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,500,500,full,20.586163166776945,0.04289045784161016,-0.44959258017853077,N/A
74,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,500,500,full,20.683967455819555,0.048864769407547436,-0.4460530554045128,N/A
75,regression,PLS,{'n_components': 16},deriv,1,7,2,16,500,500,full,19.868399776371696,0.09948657121891176,-0.4447735257317945,N/A
76,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv,,,,,100,500,top100,21.065358027700686,-0.0003271221153966127,-0.4423175840935413,N/A
77,regression,PLS,{'n_components': 20},raw,,,,20,500,500,full,19.75825926533722,0.1150349242327755,-0.44012393389034443,N/A
78,regression,PLS,{'n_components': 8},snv,,,,8,500,500,full,20.348084722963605,0.06361799870076945,-0.43786887983933775,N/A
79,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,100,500,top100,21.209555286605934,0.009768310825438165,-0.4375246595689109,N/A
80,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv,,,,,500,500,full,20.802594962458624,0.036127049052634086,-0.4351533004127638,N/A
81,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,100,500,top100,21.26757641161036,-0.003358410692539726,-0.42991354096886886,N/A
82,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,100,500,top100,21.322544420325357,0.005090016463573321,-0.4296072368636629,N/A
83,regression,PLS,{'n_components': 20},deriv,1,7,2,20,500,500,full,19.868121095680518,0.09950227082559075,-0.428794429137213,N/A
84,regression,PLS,{'n_components': 24},raw,,,,24,500,500,full,19.758259272679208,0.11503492348054918,-0.42412393322768943,N/A
85,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,50,500,top50,21.501479185640278,-0.03438930443385461,-0.42047748814262814,N/A
86,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,500,500,full,20.958406586189017,0.015690074808546933,-0.41961160504874984,N/A
87,regression,PLS,{'n_components': 24},deriv,1,7,2,24,500,500,full,19.868076652645087,0.09950609811474224,-0.4127982003077389,N/A
88,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,100,500,top100,21.484544025598296,-0.0268386537518166,-0.40991752379711816,N/A
89,regression,PLS,{'n_components': 12},snv,,,,12,500,500,full,20.498010615200396,0.04980760533679759,-0.4088497703818086,N/A
90,regression,PLS,{'n_components': 10},snv,,,,10,500,500,full,20.606669865684136,0.03936375583159124,-0.4072704124705627,N/A
91,regression,PLS,{'n_components': 10},snv_deriv,1,7,2,10,500,500,full,20.63031353864113,0.02984372950424352,-0.40278999754401645,N/A
92,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,100,500,top100,21.6127208173925,-0.03164810150441392,-0.40110039918950174,N/A
93,regression,PLS,{'n_components': 16},snv,,,,16,500,500,full,20.42431136628043,0.054935977386012524,-0.39870066074665267,N/A
94,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,500,500,full,21.263664973515674,0.0029333100286323597,-0.39818253208370646,N/A
95,regression,PLS,{'n_components': 20},snv,,,,20,500,500,full,20.404385820047693,0.05657004536089649,-0.3843643626024862,N/A
96,regression,PLS,{'n_components': 16},snv_deriv,1,7,2,16,500,500,full,20.6342973598456,0.02497880788638403,-0.3769570474811904,N/A
97,regression,PLS,{'n_components': 20},snv_deriv,1,7,2,20,500,500,full,20.538817297541943,0.03269078954830177,-0.3688901624238706,N/A
98,regression,PLS,{'n_components': 24},snv,,,,24,500,500,full,20.40360323621146,0.05664129434506027,-0.36843204258000756,N/A
99,regression,PLS,{'n_components': 12},snv_deriv,1,7,2,12,500,500,full,20.93924237681853,-8.615850143826413e-05,-0.3674765961082872,N/A
100,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,500,500,full,21.612947337605846,-0.04288151928568862,-0.3633423268329047,N/A
101,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,500,500,full,21.615474120897606,-0.04350499003626248,-0.36299373912155364,N/A
102,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",raw,,,,,100,500,top100,22.128457972859906,-0.074791880739365,-0.35775782307944864,N/A
103,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,500,500,full,21.69943554866394,-0.05276711112981373,-0.3551976219326495,N/A
104,regression,PLS,{'n_components': 6},snv_deriv,1,7,2,6,50,500,top50,21.979570284160587,-0.07860294615567413,-0.3549038599081809,N/A
105,regression,PLS,{'n_components': 24},snv_deriv,1,7,2,24,500,500,full,20.538764517844253,0.032729505947100855,-0.3529059378650771,N/A
106,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,500,500,full,21.727819318066626,-0.05508876689406409,-0.35282969635684247,N/A
107,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",raw,,,,,500,500,full,21.809446776158506,-0.04412529846807086,-0.3518516857581956,N/A
108,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",raw,,,,,50,500,top50,22.367926426352934,-0.09701793316334999,-0.35091880331259945,N/A
109,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,100,500,top100,22.192261776966593,-0.0951516780791248,-0.347429424030259,N/A
110,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,50,500,top50,22.404047232006405,-0.10156723164947867,-0.3473781808574447,N/A
111,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,500,500,full,21.866937575696028,-0.1018641379602641,-0.3295218621132845,N/A
112,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,500,500,full,21.967914651818386,-0.08593614565991659,-0.32909409379232235,N/A
113,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",raw,,,,,50,500,top50,22.636316034964384,-0.12765863068979222,-0.3256561804355373,N/A
114,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",raw,,,,,100,500,top100,22.522505345525747,-0.11834044925774505,-0.3211427989895351,N/A
115,regression,PLS,{'n_components': 10},raw,,,,10,100,500,top100,22.006238263187992,-0.0996468024904631,-0.31643212803474563,N/A
116,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,50,500,top50,22.8016631282447,-0.1483652393815552,-0.30948769562258244,N/A
117,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",raw,,,,,50,500,top50,22.86955933181392,-0.14952330052670396,-0.30527657560264854,N/A
